iter	Passed	Remaining
0	3	330
1	6	310
2	9	295
3	11	274
4	14	273
5	17	270
6	20	268
7	23	266
8	25	260
9	27	249
10	29	239
11	31	232
12	33	222
13	34	213
14	36	206
15	37	199
16	39	191
17	40	184
18	41	178
19	43	172
20	44	166
21	45	160
22	46	155
23	47	150
24	48	145
25	49	140
26	50	136
27	51	132
28	52	128
29	53	124
30	54	120
31	54	116
32	55	113
33	56	110
34	57	106
35	58	103
36	59	100
37	59	97
38	60	94
39	61	92
40	62	89
41	62	86
42	63	83
43	64	81
44	65	79
45	65	77
46	66	75
47	67	72
48	68	70
49	68	68
50	69	66
51	70	65
52	71	63
53	72	61
54	72	59
55	73	57
56	74	55
57	74	54
58	75	52
59	76	51
60	77	49
61	78	47
62	78	46
63	79	44
64	80	43
65	81	41
66	82	40
67	82	38
68	83	37
69	84	36
70	85	34
71	85	33
72	86	32
73	87	30
74	88	29
75	88	28
76	89	26
77	90	25
78	91	24
79	92	23
80	92	21
81	93	20
82	94	19
83	95	18
84	96	16
85	96	15
86	97	14
87	98	13
88	99	12
89	99	11
90	100	9
91	101	8
92	102	7
93	102	6
94	103	5
95	104	4
96	105	3
97	105	2
98	106	1
99	107	0
